schema_version,map_name,frame_id,building_id,source_component_id,ring_role,ring_index,vertex_order,next_vertex_order,ring_vertex_count,winding,x_enu_m,y_enu_m,foundation_z_m,ground_reference_z_m,roof_z_m,height_above_ground_m
1,city_uav,gazebo_world_enu,building_014,1093,outer,0,4,5,6,CCW,588.68675,286.60725,-0.05,0,41.9117647059,41.9117647059
1,city_uav,gazebo_world_enu,building_014,1093,outer,0,5,0,6,CCW,586.90175,308.502,-0.05,0,41.9117647059,41.9117647059
1,city_uav,gazebo_world_enu,building_015,1096,outer,0,0,1,6,CCW,-92.893,-533.61575,-0.05,0,34.1176470588,34.1176470588
1,city_uav,gazebo_world_enu,building_015,1096,outer,0,1,2,6,CCW,-73.281,-535.38975,-0.05,0,34.1176470588,34.1176470588
1,city_uav,gazebo_world_enu,building_015,1096,outer,0,2,3,6,CCW,-72.68725,-527.10525,-0.05,0,34.1176470588,34.1176470588
1,city_uav,gazebo_world_enu,building_015,1096,outer,0,3,4,6,CCW,-64.9615,-527.6965,-0.05,0,34.1176470588,34.1176470588
1,city_uav,gazebo_world_enu,building_015,1096,outer,0,4,5,6,CCW,-64.36775,-517.045,-0.05,0,34.1176470588,34.1176470588
1,city_uav,gazebo_world_enu,building_015,1096,outer,0,5,0,6,CCW,-91.70575,-514.67975,-0.05,0,34.1176470588,34.1176470588
1,city_uav,gazebo_world_enu,building_018,1106,outer,0,0,1,6,CCW,-605.80725,364.04525,-0.05,0,20.5882352941,20.5882352941
1,city_uav,gazebo_world_enu,building_018,1106,outer,0,1,2,6,CCW,-590.3555,345.11,-0.05,0,20.5882352941,20.5882352941
1,city_uav,gazebo_world_enu,building_018,1106,outer,0,2,3,6,CCW,-602.2405,335.64125,-0.05,0,20.5882352941,20.5882352941
1,city_uav,gazebo_world_enu,building_018,1106,outer,0,3,4,6,CCW,-590.3545,321.43975,-0.05,0,20.5882352941,20.5882352941
1,city_uav,gazebo_world_enu,building_018,1106,outer,0,4,5,6,CCW,-559.4535,347.47825,-0.05,0,20.5882352941,20.5882352941
1,city_uav,gazebo_world_enu,building_018,1106,outer,0,5,0,6,CCW,-586.79125,380.0235,-0.05,0,20.5882352941,20.5882352941
1,city_uav,gazebo_world_enu,building_019,1107,outer,0,0,1,6,CCW,459.12925,349.91275,-0.05,0,29.5588235294,29.5588235294
1,city_uav,gazebo_world_enu,building_019,1107,outer,0,1,2,6,CCW,471.01475,348.73025,-0.05,0,29.5588235294,29.5588235294
1,city_uav,gazebo_world_enu,building_019,1107,outer,0,2,3,6,CCW,471.0145,349.91375,-0.05,0,29.5588235294,29.5588235294
1,city_uav,gazebo_world_enu,building_019,1107,outer,0,3,4,6,CCW,480.523,348.73125,-0.05,0,29.5588235294,29.5588235294
1,city_uav,gazebo_world_enu,building_019,1107,outer,0,4,5,6,CCW,484.67975,383.05325,-0.05,0,29.5588235294,29.5588235294
1,city_uav,gazebo_world_enu,building_019,1107,outer,0,5,0,6,CCW,463.28575,385.41825,-0.05,0,29.5588235294,29.5588235294
1,city_uav,gazebo_world_enu,building_020,1111,outer,0,0,1,6,CCW,432.99475,197.23825,-0.05,0,27.7941176471,27.7941176471
1,city_uav,gazebo_world_enu,building_020,1111,outer,0,1,2,6,CCW,432.99675,175.3435,-0.05,0,27.7941176471,27.7941176471
1,city_uav,gazebo_world_enu,building_020,1111,outer,0,2,3,6,CCW,472.219,175.347,-0.05,0,27.7941176471,27.7941176471
1,city_uav,gazebo_world_enu,building_020,1111,outer,0,3,4,6,CCW,472.218,185.9985,-0.05,0,27.7941176471,27.7941176471
1,city_uav,gazebo_world_enu,building_020,1111,outer,0,4,5,6,CCW,471.0295,185.9985,-0.05,0,27.7941176471,27.7941176471
1,city_uav,gazebo_world_enu,building_020,1111,outer,0,5,0,6,CCW,471.0285,197.24175,-0.05,0,27.7941176471,27.7941176471
1,city_uav,gazebo_world_enu,building_022,1113,outer,0,0,1,6,CCW,547.1245,-104.54475,-0.05,0,44.8529411765,44.8529411765
1,city_uav,gazebo_world_enu,building_022,1113,outer,0,1,2,6,CCW,547.12625,-122.889,-0.05,0,44.8529411765,44.8529411765
1,city_uav,gazebo_world_enu,building_022,1113,outer,0,2,3,6,CCW,587.53775,-122.88525,-0.05,0,44.8529411765,44.8529411765
1,city_uav,gazebo_world_enu,building_022,1113,outer,0,3,4,6,CCW,587.53325,-77.32025,-0.05,0,44.8529411765,44.8529411765
1,city_uav,gazebo_world_enu,building_022,1113,outer,0,4,5,6,CCW,563.16775,-77.32275,-0.05,0,44.8529411765,44.8529411765
1,city_uav,gazebo_world_enu,building_022,1113,outer,0,5,0,6,CCW,563.17025,-104.54325,-0.05,0,44.8529411765,44.8529411765
1,city_uav,gazebo_world_enu,building_026,1119,outer,0,0,1,6,CCW,437.79875,-357.233,-0.05,0,46.3235294118,46.3235294118
1,city_uav,gazebo_world_enu,building_026,1119,outer,0,1,2,6,CCW,438.39675,-398.06375,-0.05,0,46.3235294118,46.3235294118
1,city_uav,gazebo_world_enu,building_026,1119,outer,0,2,3,6,CCW,480.5915,-397.46825,-0.05,0,46.3235294118,46.3235294118
1,city_uav,gazebo_world_enu,building_026,1119,outer,0,3,4,6,CCW,479.99475,-371.43125,-0.05,0,46.3235294118,46.3235294118
1,city_uav,gazebo_world_enu,building_026,1119,outer,0,4,5,6,CCW,456.223,-372.025,-0.05,0,46.3235294118,46.3235294118
1,city_uav,gazebo_world_enu,building_026,1119,outer,0,5,0,6,CCW,455.6275,-357.23125,-0.05,0,46.3235294118,46.3235294118
1,city_uav,gazebo_world_enu,building_027,1121,outer,0,0,1,6,CCW,-283.668,-433.62125,-0.05,0,42.9411764706,42.9411764706
1,city_uav,gazebo_world_enu,building_027,1121,outer,0,1,2,6,CCW,-283.667,-451.9655,-0.05,0,42.9411764706,42.9411764706
1,city_uav,gazebo_world_enu,building_027,1121,outer,0,2,3,6,CCW,-243.84925,-451.96325,-0.05,0,42.9411764706,42.9411764706
1,city_uav,gazebo_world_enu,building_027,1121,outer,0,3,4,6,CCW,-243.25725,-409.94875,-0.05,0,42.9411764706,42.9411764706
1,city_uav,gazebo_world_enu,building_027,1121,outer,0,4,5,6,CCW,-268.812,-409.95025,-0.05,0,42.9411764706,42.9411764706
1,city_uav,gazebo_world_enu,building_027,1121,outer,0,5,0,6,CCW,-268.81075,-433.62025,-0.05,0,42.9411764706,42.9411764706
1,city_uav,gazebo_world_enu,building_028,1122,outer,0,0,1,6,CCW,-397.178,-437.76925,-0.05,0,38.0882352941,38.0882352941
1,city_uav,gazebo_world_enu,building_028,1122,outer,0,1,2,6,CCW,-396.58175,-480.3755,-0.05,0,38.0882352941,38.0882352941
1,city_uav,gazebo_world_enu,building_028,1122,outer,0,2,3,6,CCW,-371.62125,-479.7825,-0.05,0,38.0882352941,38.0882352941
1,city_uav,gazebo_world_enu,building_028,1122,outer,0,3,4,6,CCW,-371.6225,-454.929,-0.05,0,38.0882352941,38.0882352941
1,city_uav,gazebo_world_enu,building_028,1122,outer,0,4,5,6,CCW,-355.5765,-454.928,-0.05,0,38.0882352941,38.0882352941
1,city_uav,gazebo_world_enu,building_028,1122,outer,0,5,0,6,CCW,-356.17175,-437.1755,-0.05,0,38.0882352941,38.0882352941
1,city_uav,gazebo_world_enu,building_031,1125,outer,0,0,1,6,CCW,137.687,-436.5525,-0.05,0,42.0588235294,42.0588235294
1,city_uav,gazebo_world_enu,building_031,1125,outer,0,1,2,6,CCW,138.28425,-476.19975,-0.05,0,42.0588235294,42.0588235294
1,city_uav,gazebo_world_enu,building_031,1125,outer,0,2,3,6,CCW,154.9245,-476.1985,-0.05,0,42.0588235294,42.0588235294
1,city_uav,gazebo_world_enu,building_031,1125,outer,0,3,4,6,CCW,155.51775,-461.40475,-0.05,0,42.0588235294,42.0588235294
1,city_uav,gazebo_world_enu,building_031,1125,outer,0,4,5,6,CCW,179.2895,-461.9945,-0.05,0,42.0588235294,42.0588235294
1,city_uav,gazebo_world_enu,building_031,1125,outer,0,5,0,6,CCW,179.882,-437.141,-0.05,0,42.0588235294,42.0588235294
1,city_uav,gazebo_world_enu,building_032,1129,outer,0,0,1,6,CCW,188.7525,126.79925,-0.05,0,47.0588235294,47.0588235294
1,city_uav,gazebo_world_enu,building_032,1129,outer,0,1,2,6,CCW,189.3485,105.49625,-0.05,0,47.0588235294,47.0588235294
1,city_uav,gazebo_world_enu,building_032,1129,outer,0,2,3,6,CCW,214.30825,105.49825,-0.05,0,47.0588235294,47.0588235294
1,city_uav,gazebo_world_enu,building_032,1129,outer,0,3,4,6,CCW,214.30775,110.824,-0.05,0,47.0588235294,47.0588235294
1,city_uav,gazebo_world_enu,building_032,1129,outer,0,4,5,6,CCW,228.5705,110.82525,-0.05,0,47.0588235294,47.0588235294
1,city_uav,gazebo_world_enu,building_032,1129,outer,0,5,0,6,CCW,228.56925,126.8025,-0.05,0,47.0588235294,47.0588235294
1,city_uav,gazebo_world_enu,building_033,1130,outer,0,0,1,6,CCW,189.982,-398.67625,-0.05,0,45.2941176471,45.2941176471
1,city_uav,gazebo_world_enu,building_033,1130,outer,0,1,2,6,CCW,235.14825,-399.2645,-0.05,0,45.2941176471,45.2941176471
1,city_uav,gazebo_world_enu,building_033,1130,outer,0,2,3,6,CCW,235.145,-358.43375,-0.05,0,45.2941176471,45.2941176471
1,city_uav,gazebo_world_enu,building_033,1130,outer,0,3,4,6,CCW,214.93925,-358.43525,-0.05,0,45.2941176471,45.2941176471
1,city_uav,gazebo_world_enu,building_033,1130,outer,0,4,5,6,CCW,214.346,-373.82075,-0.05,0,45.2941176471,45.2941176471
1,city_uav,gazebo_world_enu,building_033,1130,outer,0,5,0,6,CCW,190.57425,-373.231,-0.05,0,45.2941176471,45.2941176471
1,city_uav,gazebo_world_enu,building_034,1135,outer,0,0,1,6,CCW,88.9315,-115.8265,-0.05,0,43.8235294118,43.8235294118
1,city_uav,gazebo_world_enu,building_034,1135,outer,0,1,2,6,CCW,88.93275,-134.17075,-0.05,0,43.8235294118,43.8235294118
1,city_uav,gazebo_world_enu,building_034,1135,outer,0,2,3,6,CCW,128.15575,-134.75975,-0.05,0,43.8235294118,43.8235294118
1,city_uav,gazebo_world_enu,building_034,1135,outer,0,3,4,6,CCW,128.1525,-92.1535,-0.05,0,43.8235294118,43.8235294118
1,city_uav,gazebo_world_enu,building_034,1135,outer,0,4,5,6,CCW,103.78675,-92.15525,-0.05,0,43.8235294118,43.8235294118
1,city_uav,gazebo_world_enu,building_034,1135,outer,0,5,0,6,CCW,89.524,-91.5645,-0.05,0,43.8235294118,43.8235294118
1,city_uav,gazebo_world_enu,building_036,1137,outer,0,0,1,6,CCW,-99.44875,-244.2495,-0.05,0,25.8823529412,25.8823529412
1,city_uav,gazebo_world_enu,building_036,1137,outer,0,1,2,6,CCW,-99.4475,-263.1855,-0.05,0,25.8823529412,25.8823529412
1,city_uav,gazebo_world_enu,building_036,1137,outer,0,2,3,6,CCW,-82.21325,-263.1845,-0.05,0,25.8823529412,25.8823529412
1,city_uav,gazebo_world_enu,building_036,1137,outer,0,3,4,6,CCW,-82.2115,-288.62975,-0.05,0,25.8823529412,25.8823529412
