building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_012,building_051,6.7228892896,43.6103555908,6.486847204
building_012,building_053,22.5416515999,78.9236070636,3.5012344466
building_012,building_076,14.3623560581,61.9745648465,4.3150695189
building_012,building_142,19.6287297424,75.3356818671,3.8380314394
building_012,building_143,12.3609000488,55.4149488649,4.4830836465
building_012,building_146,34.9627354839,110.4787738456,3.1599007434
building_012,building_148,6.3195328162,40.2362231,6.3669616521
building_012,building_150,12.8870507864,58.3322563867,4.5264240324
building_012,building_155,27.4572501161,91.3505114294,3.3270087515
building_012,building_161,30.6654944718,107.5372918869,3.5067848649
building_012,building_176,29.0446029171,96.8496293129,3.3345138024
building_012,building_179,12.618657908,57.2582340326,4.5375850942
building_012,building_188,31.2444394702,95.82857144,3.0670600294
building_012,building_191,7.8388773444,46.3213803203,5.9091854975
building_014,building_019,33.1473743841,107.2432540249,3.2353468719
building_014,building_047,11.3626636238,42.320791696,3.7245484947
building_014,building_050,11.6071780606,53.9813645746,4.6506880736
building_014,building_051,18.5891927727,72.6358685308,3.9074245675
building_014,building_053,10.7908120144,50.5896023606,4.6882108865
building_014,building_114,24.4922609624,85.7905153746,3.5027601374
building_014,building_133,0.9435577109,16.9548422595,17.9690569679
building_014,building_146,21.1516802345,67.1045050817,3.1725378002
building_014,building_148,27.3476092443,92.6598246343,3.3882239506
building_014,building_150,12.133940894,56.9107061902,4.6902079619
building_015,building_057,0.3887769632,13.4917590132,34.7030824637
building_015,building_084,11.5867058153,57.8588739701,4.9935568308
building_015,building_104,23.2640404153,80.650478366,3.466744251
building_015,building_137,33.6571299555,107.3604746211,3.1898285672
building_015,building_174,19.3246814132,75.1475931942,3.888684713
building_015,building_178,31.8946662034,100.9653445617,3.165587121
building_015,building_274,10.8249482535,54.9654613871,5.0776650475
building_018,building_060,20.2534868238,77.9324221214,3.8478521155
building_018,building_180,28.4651765278,100.3439168992,3.5251464821
building_018,building_253,8.1462100186,50.5768733668,6.2086385266
building_019,building_050,10.5870790769,49.789893136,4.702892344
building_019,building_053,20.3929841007,73.6722617072,3.6126278206
building_019,building_073,22.7665238102,77.460584938,3.4023896482
building_019,building_114,1.6306604286,18.2306673179,11.1799286955
building_019,building_133,27.7839237906,92.2682617821,3.3209226486
building_019,building_141,22.9983320884,83.0210844594,3.6098741483
building_019,building_150,30.7153316485,98.5744441973,3.2092912206
building_019,building_176,28.3152654879,97.4082646271,3.440132485
building_019,building_227,1.5345296463,17.9260517301,11.6817891221
building_020,building_049,34.2303001315,114.3368424257,3.3402231937
building_020,building_051,13.0490904377,58.3472247192,4.4713633489
building_020,building_053,32.5097473463,101.854556305,3.1330466897
building_020,building_076,19.3196342491,75.6518303875,3.9158003413
building_020,building_130,27.5004243458,100.563518699,3.6567987982
building_020,building_142,27.6535308827,94.1813297085,3.4057614598
building_020,building_143,13.2256463298,60.6314845329,4.5843872595
building_020,building_147,34.4754480587,113.1155242871,3.2810458067
building_020,building_148,6.0177288556,43.0360008142,7.1515353793
building_020,building_150,22.3186473358,78.6999490138,3.5261970777
building_020,building_155,17.0424643578,65.4520010189,3.8405244479
building_020,building_161,21.3639829845,86.6499075978,4.0558873156
building_020,building_179,12.3609027516,55.6081447438,4.4987122592
building_020,building_188,20.8296576598,69.8604325748,3.3538924987
building_020,building_191,6.6559737098,41.5798248354,6.2469935502
building_022,building_062,3.0770956031,34.285874403,11.1422844219
building_022,building_228,24.1434757199,89.8051586692,3.7196449969
building_026,building_165,26.8620629733,99.7129984179,3.7120379964
building_026,building_169,29.3509001241,104.3430586958,3.5550207406
building_026,building_190,25.4927737545,99.5453508125,3.9048458112
building_026,building_193,3.2588215703,34.757878547,10.6657814175
building_026,building_194,15.6517602323,67.5758464202,4.3174598523
building_026,building_197,28.9751946211,107.7608169245,3.7190713758
building_026,building_233,15.1317789425,59.1169198626,3.9068056761
building_026,building_251,26.8600624365,103.6608252845,3.8592920448
building_027,building_028,28.7873554543,103.1688917598,3.5838266535
building_027,building_129,1.656900003,29.8661940418,18.0253449138
building_027,building_178,16.1586927296,72.3440735673,4.4770994026
building_027,building_244,2.1303000081,32.6945440982,15.3473895575
building_027,building_259,21.0663000342,77.9394845434,3.6997234643
building_028,building_128,29.1915622667,107.9777114519,3.6989356878
building_028,building_129,28.7677707308,102.0503451829,3.5473845415
building_028,building_204,24.1443282845,83.937062319,3.4764712163
building_028,building_243,17.1770817163,73.4098401294,4.2737084996
building_028,building_244,31.887131368,119.7326076428,3.7548880224
building_028,building_249,31.9542911273,112.427168471,3.5183746691
