building_id,source_component_id,original_centroid_x_m,original_centroid_y_m,transformed_centroid_x_m,transformed_centroid_y_m,centroid_spacing_scale,footprint_scale_xy,foundation_z_m,roof_z_m,height_above_ground_m,roof_z_difference_from_source_m
building_233,1537,182.0593700716,-180.7926883173,455.1484251789,-451.9817207932,2.5,2.5,-0.05,39.5588235294,39.5588235294,23.258457229
building_234,1538,-0.6350622399,-48.0091292756,-1.5876555998,-120.022823189,2.5,2.5,-0.05,47.9411764706,47.9411764706,28.6737772032
building_235,1539,-227.9067543098,-182.2477370832,-569.7668857746,-455.619342708,2.5,2.5,-0.05,45.4411764706,45.4411764706,27.1261581556
building_236,1540,125.5482644401,-180.0139335718,313.8706611003,-450.0348339294,2.5,2.5,-0.05,29.1176470588,29.1176470588,16.1139840551
building_238,1543,-178.4838711631,90.9979580507,-446.2096779078,227.4948951266,2.5,2.5,-0.05,35.7352941176,35.7352941176,20.5704589528
building_240,1547,144.2664243576,-105.0500620272,360.666060894,-262.6251550681,2.5,2.5,-0.05,30.8823529412,30.8823529412,17.1827192416
building_241,1551,-94.1845688496,84.6433548365,-235.461422124,211.6083870912,2.5,2.5,-0.05,39.8529411765,39.8529411765,23.4793148029
building_242,1554,-16.3466556049,220.1596828055,-40.8666390123,550.3992070137,2.5,2.5,-0.05,34.7058823529,34.7058823529,19.8707175177
building_243,1555,-182.2368075586,-161.6557412749,-455.5920188965,-404.1393531873,2.5,2.5,-0.05,23.8235294118,23.8235294118,12.6879982763
building_244,1558,-102.622963537,-154.1077084149,-256.5574088425,-385.2692710372,2.5,2.5,-0.05,44.4117647059,44.4117647059,26.4630467572
building_245,1559,-24.1950854782,56.4468922083,-60.4877136954,141.1172305207,2.5,2.5,-0.05,45.8823529412,45.8823529412,27.4574445163
building_247,1562,43.6625398206,-3.130198253,109.1563495515,-7.8254956326,2.5,2.5,-0.05,42.2058823529,42.2058823529,24.9897651368
building_249,1567,-175.4297497246,-229.2999839809,-438.5743743116,-573.2499599523,2.5,2.5,-0.05,37.7941176471,37.7941176471,22.0065718596
building_250,1568,-185.5500588776,17.8656924717,-463.8751471941,44.6642311794,2.5,2.5,-0.05,34.2647058824,34.2647058824,19.5760611938
building_251,1570,229.6186111023,-169.5996773416,574.0465277558,-423.9991933539,2.5,2.5,-0.05,22.5,22.5,11.804029304
building_252,1575,-152.11822152,-101.9089645463,-380.2955538,-254.7724113657,2.5,2.5,-0.05,30.4411764706,30.4411764706,16.9246929541
building_253,1579,-217.091441256,161.7526139667,-542.7286031401,404.3815349167,2.5,2.5,-0.05,33.0882352941,33.0882352941,18.8025210084
building_254,1582,143.6231677619,-77.5820729657,359.0579194047,-193.9551824142,2.5,2.5,-0.05,29.4117647059,29.4117647059,16.2982115923
building_255,1589,174.4062252524,200.9291965987,436.015563131,502.3229914967,2.5,2.5,-0.05,49.8529411765,49.8529411765,29.8895712131
building_256,1591,-76.8877679442,-3.4243923163,-192.2194198606,-8.5609807908,2.5,2.5,-0.05,31.9117647059,31.9117647059,17.9190907132
