building_id,foundation_z_m,roof_z_m,dart_polyline_prism,boundary_alignment_error_m,undercoverage_m,outward_error_m
building_180,-0.05,44.5588235294,true,0,0,0
building_181,-0.05,20.7352941176,true,0,0,0
building_182,-0.05,38.8235294118,true,0,0,0
building_183,-0.05,29.8529411765,true,0,0,0
building_184,-0.05,35.2941176471,true,0,0,0
building_186,-0.05,45,true,0,0,0
building_187,-0.05,33.3823529412,true,0,0,0
building_188,-0.05,24.8529411765,true,0,0,0
building_189,-0.05,26.7647058824,true,0,0,0
building_190,-0.05,20,true,0,0,0
building_191,-0.05,27.9411764706,true,0,0,0
building_193,-0.05,24.4117647059,true,0,0,0
building_194,-0.05,41.4705882353,true,0,0,0
building_195,-0.05,39.7058823529,true,0,0,0
building_197,-0.05,42.5,true,0,0,0
building_198,-0.05,43.5294117647,true,0,0,0
building_200,-0.05,22.9411764706,true,0,0,0
building_202,-0.05,31.1764705882,true,0,0,0
building_204,-0.05,37.6470588235,true,0,0,0
building_206,-0.05,32.5,true,0,0,0
building_207,-0.05,31.7647058824,true,0,0,0
building_208,-0.05,24.1176470588,true,0,0,0
building_209,-0.05,22.7941176471,true,0,0,0
building_210,-0.05,43.9705882353,true,0,0,0
building_211,-0.05,32.3529411765,true,0,0,0
building_212,-0.05,41.3235294118,true,0,0,0
building_213,-0.05,40.5882352941,true,0,0,0
building_214,-0.05,47.2058823529,true,0,0,0
building_215,-0.05,49.2647058824,true,0,0,0
building_216,-0.05,32.6470588235,true,0,0,0
building_217,-0.05,47.5,true,0,0,0
building_218,-0.05,23.6764705882,true,0,0,0
building_219,-0.05,28.2352941176,true,0,0,0
building_220,-0.05,40.1470588235,true,0,0,0
building_221,-0.05,35.8823529412,true,0,0,0
building_223,-0.05,21.0294117647,true,0,0,0
building_224,-0.05,25,true,0,0,0
building_226,-0.05,49.1176470588,true,0,0,0
building_227,-0.05,30.7352941176,true,0,0,0
building_228,-0.05,47.6470588235,true,0,0,0
building_229,-0.05,20.1470588235,true,0,0,0
building_233,-0.05,39.5588235294,true,0,0,0
building_234,-0.05,47.9411764706,true,0,0,0
building_235,-0.05,45.4411764706,true,0,0,0
building_236,-0.05,29.1176470588,true,0,0,0
building_238,-0.05,35.7352941176,true,0,0,0
building_240,-0.05,30.8823529412,true,0,0,0
building_241,-0.05,39.8529411765,true,0,0,0
building_242,-0.05,34.7058823529,true,0,0,0
building_243,-0.05,23.8235294118,true,0,0,0
building_244,-0.05,44.4117647059,true,0,0,0
building_245,-0.05,45.8823529412,true,0,0,0
building_247,-0.05,42.2058823529,true,0,0,0
building_249,-0.05,37.7941176471,true,0,0,0
building_250,-0.05,34.2647058824,true,0,0,0
building_251,-0.05,22.5,true,0,0,0
building_252,-0.05,30.4411764706,true,0,0,0
building_253,-0.05,33.0882352941,true,0,0,0
building_254,-0.05,29.4117647059,true,0,0,0
building_255,-0.05,49.8529411765,true,0,0,0
building_256,-0.05,31.9117647059,true,0,0,0
building_257,-0.05,42.6470588235,true,0,0,0
building_258,-0.05,48.8235294118,true,0,0,0
building_259,-0.05,41.0294117647,true,0,0,0
building_260,-0.05,48.3823529412,true,0,0,0
building_263,-0.05,27.5,true,0,0,0
building_266,-0.05,40,true,0,0,0
building_267,-0.05,46.1764705882,true,0,0,0
building_268,-0.05,28.8235294118,true,0,0,0
building_269,-0.05,28.5294117647,true,0,0,0
building_271,-0.05,30.5882352941,true,0,0,0
building_272,-0.05,23.9705882353,true,0,0,0
building_273,-0.05,26.0294117647,true,0,0,0
building_274,-0.05,36.4705882353,true,0,0,0
